cyclist_id,pcs_id,uci_id,full_name,first_name,last_name,birthdate,height,birthplace,rw,nation,age,cyclist_class,description,email,mobile,coach_id,url,label,pcs_weight
40,167531,10005965884,ÁVILA Edwin,Edwin,ÁVILA,1989-11-21,167,Cali,NULL,co,31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,61
45,181940,10014093979,BADILATTI Matteo,Matteo,BADILATTI,1992-07-30,178,Poschiavo,NULL,ch,28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,62
56,133760,10008199312,BARBIER Rudy,Rudy,BARBIER,1992-12-18,179,"Beauvais ",NULL,fr,28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,78
78,204957,10011042018,BEN MOSHE Yuval,Yuval,BEN MOSHE,1999-04-06,172,,NULL,il,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,60
93,201779,10015606674,BERWICK Sebastian,Sebastian,BERWICK,1999-12-15,175,Brisbane,NULL,au,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,59
98,140102,10006480388,BEVIN Patrick,Patrick,BEVIN,1991-02-15,180,Taupo,NULL,nz,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,75
101,168761,10008663393,BIERMANS Jenthe,Jenthe,BIERMANS,1995-10-30,184," Geel",NULL,be,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,78
114,140334,10005475733,BOIVIN Guillaume,Guillaume,BOIVIN,1989-05-25,180,Montreal,NULL,ca,31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,78
130,140224,10005391564,BRÄNDLE Matthias,Matthias,BRÄNDLE,1989-12-07,190,Hohenems,NULL,at,31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,80
160,176096,10007214356,CARISEY Clément,Clément,CARISEY,1992-03-23,186,Échirolles,NULL,fr,28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,75
170,174310,10007211730,CATAFORD Alexander,Alexander,CATAFORD,1993-09-01,183,Ottawa,NULL,ca,27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,70
191,140385,10028417041,CIMOLAI Davide,Davide,CIMOLAI,1989-08-13,182,Pordenone,NULL,it,31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,70
238,140230,10003094280,DE MARCHI Alessandro,Alessandro,DE MARCHI,1986-05-19,181,San Daniele del Friuli,NULL,it,34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,65
266,188233,10043045045,DÍAZ José Manuel,José Manuel,DÍAZ,1995-01-18,177,Jaén,NULL,es,26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,63
275,140382,10004881508,DOWSETT Alex,Alex,DOWSETT,1988-10-03,182,Maldon,NULL,gb,32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,75
283,135709,10005776433,EARLE Nathan,Nathan,EARLE,1988-06-04,180,Hobart,NULL,au,32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,70
291,186431,10011044442,EINHORN Itamar,Itamar,EINHORN,1997-09-20,172,Modi'in,NULL,il,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,72
326,140869,10004393676,FROOME Chris,Chris,FROOME,1985-05-20,186,Nairobi,NULL,gb,35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,66
350,204477,10022516007,GEBREMEDHIN Awet,Awet,GEBREMEDHIN,1992-02-05,176,Kakebda,NULL,se,29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,58
367,178344,10009246710,GOLDSTEIN Omer,Omer,GOLDSTEIN,1996-08-13,174,Misgav,NULL,il,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,61
377,140786,10002214311,GREIPEL André,André,GREIPEL,1982-07-16,184,Rostock,NULL,de,38,NULL,NULL,NULL,NULL,NULL,NULL,NULL,75
393,179795,10088502578,HAGEN Carl Fredrik,Carl Fredrik,HAGEN,1991-09-26,180,Oppegård,NULL,no,29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,65
411,140705,10003085994,HERMANS Ben,Ben,HERMANS,1986-06-08,186,Hasselt,NULL,be,34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,72
427,165607,10009850534,HOFSTETTER Hugo,Hugo,HOFSTETTER,1994-02-13,170,Altkirch,NULL,fr,27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,65
428,140111,10006060056,HOLLENSTEIN Reto,Reto,HOLLENSTEIN,1985-08-22,197,Frauenfeld,NULL,ch,35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,80
440,140800,10002916448,IMPEY Daryl,Daryl,IMPEY,1984-12-06,181,Johannesburg,NULL,za,36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,70
456,141172,10008676935,JENSEN August,August,JENSEN,1991-08-29,176,Bodø,NULL,no,29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,67
459,235019,10072878811,JONES Taj,Taj,JONES,2000-07-26,188,Nanango,NULL,au,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,72
562,140790,10003224828,MARTIN Dan,Dan,MARTIN,1986-08-20,175,Birmingham,NULL,ie,34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,59
575,127751,10008856888,MCCABE Travis,Travis,MCCABE,1989-05-12,180,Prescott,NULL,us,31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,72
590,169896,10009027852,MINALI Riccardo,Riccardo,MINALI,1995-04-19,180,Isola della Scala,NULL,it,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,74
624,162756,10007935085,NEILANDS Krists,Krists,NEILANDS,1994-08-18,189,Kuldiga,NULL,lv,26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,69
631,209000,10007882242,NIV Guy,Guy,NIV,1994-03-08,168,Misgav,NULL,il,26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,58
678,162944,10007584471,PERRY Benjamin,Benjamin,PERRY,1994-03-07,180,St. Catharines,NULL,ca,26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,70
687,167592,10051994206,PICCOLI James,James,PICCOLI,1991-09-05,178,Montreal,NULL,ca,29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,65
699,155529,10008722607,POLITT Nils,Nils,POLITT,1994-03-06,192,Cologne,NULL,de,26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,80
718,206405,10016241117,RENARD Alexis,Alexis,RENARD,1999-06-01,186,Saint-Brieuc,NULL,fr,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,74
767,168814,10008682995,SAGIV Guy,Guy,SAGIV,1994-12-05,179,Namur,NULL,il,26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,68
779,134947,10006467961,SBARAGLI Kristian,Kristian,SBARAGLI,1990-05-08,175,Empoli,NULL,it,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,70
784,138855,10006469072,SCHELLING Patrick,Patrick,SCHELLING,1990-05-01,173,Hemberg,NULL,ch,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,61
840,140119,10050087043,SUTHERLAND Rory,Rory,SUTHERLAND,1982-02-08,188," Canberra",NULL,au,39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,75
876,141043,10007523342,TUREK Daniel,Daniel,TUREK,1993-01-19,183,Lanškroun,NULL,cz,28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,72
887,176944,10009498506,VAHTRA Norman,Norman,VAHTRA,1996-11-23,192,Tartu,NULL,ee,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,83
