,full_name,cyclist_id,year,strava_url
1,LEBRETON Jacques,1138,2021,https://www.strava.com/athletes/32821086
2,OSBORNE Jason,1140,2021,https://www.strava.com/pros/15310584
3,VAN TRICHT Stan,1142,2021,https://www.strava.com/pros/31191629
4,PLAPP Luke,1145,2021,https://www.strava.com/athletes/41083066
7,JARNET Maxime,1148,2021,https://www.strava.com/athletes/27595856
8,GOH Choon Huat,1151,2021,https://www.strava.com/athletes/146498
9,FISHER-BLACK Finn,1156,2021,https://www.strava.com/athletes/2099192
10,RICHARDSON Alexandar,1159,2021,https://www.strava.com/pros/7033791
11,ROCCHETTA Cristian,1161,2021,https://www.strava.com/athletes/1641536
13,ZAMBELLI Samuele,1163,2021,https://www.strava.com/athletes/17840086
16,DESAL Ceriel,1167,2021,https://www.strava.com/athletes/47045750
18,MORENO Adrià,1169,2021,https://www.strava.com/athletes/722757
25,PIGANZOLI Davide,1178,2021,https://www.strava.com/athletes/23174762
29,DVERSNES Fredrik,1184,2021,https://www.strava.com/athletes/15517763
30,LUCCA Riccardo,1185,2021,https://www.strava.com/athletes/2568249
31,LUNDER Eirik,1186,2021,https://www.strava.com/athletes/10715325
32,CHRÉTIEN Charles-Étienne,1187,2021,https://strava.com/athletes/22011713
33,PARISELLA Raphael,1188,2021,https://www.strava.com/athletes/24379225
34,SHEEHAN Riley,1189,2021,https://www.strava.com/athletes/2311517
36,MASOTTO Giulio,1192,2021,https://www.strava.com/athletes/5303751
37,TOSIN Ricardo,1194,2021,https://www.strava.com/athletes/14210727
38,CHEVRIER Clément,1195,2020,https://www.strava.com/pros/1634025
40,RAUGEL Antoine,1197,2020,https://www.strava.com/athletes/60143625
41,VANDENBERGH Stijn,1198,2020,https://www.strava.com/athletes/1825049
42,VERGER Simon,1199,2020,https://www.strava.com/athletes/25568489
43,BIZHIGITOV Zhandos,1200,2020,https://www.strava.com/athletes/42364998
45,FOMINYKH Daniil,1202,2020,https://strava.com/athletes/13394459
46,BOLE Grega,1203,2020,https://www.strava.com/pros/2261653
47,PIBERNIK Luka,1204,2020,https://www.strava.com/athletes/9112966
49,MCCARTHY Jay,1206,2020,https://www.strava.com/pros/182599
50,POLJAŃSKI Paweł,1207,2020,https://strava.com/athletes/19985181
51,PALUTA Michał,1208,2020,https://www.strava.com/athletes/15962338
53,VAN KEIRSBULCK Guillaume,1210,2020,https://www.strava.com/pros/1789722
54,VENTOSO Francisco José,1211,2020,https://www.strava.com/pros/1231348
56,MATHIS Marco,1213,2020,https://www.strava.com/pros/5103065
57,ROSSETTO Stéphane,1214,2020,https://www.strava.com/athletes/27036849
58,QUINN Sean,1215,2020,https://www.strava.com/athletes/5798962
59,VILLALOBOS Luis,1216,2020,https://www.strava.com/athletes/17843139
60,VINCENT Léo,1217,2020,https://strava.com/athletes/3143676
62,KNEES Christian,1219,2020,https://www.strava.com/pros/2455522
66,IVERSEN Rasmus,1223,2020,https://www.strava.com/athletes/4993592
67,MAES Nikolas,1224,2020,https://www.strava.com/pros/9176921
68,VAN GOETHEM Brian,1225,2020,https://www.strava.com/pros/3684079
69,ALBASINI Michael,1226,2020,https://www.strava.com/pros/780854
72,CARBEL Michael,1229,2020,https://www.strava.com/athletes/3777776
73,DYBALL Benjamin,1230,2020,https://www.strava.com/pros/6762797
74,GASPAROTTO Enrico,1231,2020,https://www.strava.com/athletes/49503094
75,IRIBE Shotaro,1232,2020,https://www.strava.com/athletes/18336563
76,THOMSON Jay Robert,1233,2020,https://www.strava.com/pros/2195375
77,WYSS Danilo,1234,2020,https://www.strava.com/pros/2599710
78,LEEZER Tom,1235,2020,https://www.strava.com/athletes/22259638
79,CLARKE Will,1236,2020,https://www.strava.com/pros/2332012
81,FAGERHAUG Petter,1238,2020,https://www.strava.com/athletes/983735
82,KIELICH Timo,1239,2020,https://strava.com/athletes/3732430
83,PETRUS Lubomir,1240,2020,https://www.strava.com/athletes/7702279
86,BOECKMANS Kris,1243,2020,https://www.strava.com/pros/1967043
88,GAREL Adrien,1245,2020,https://www.strava.com/athletes/3490128
89,LE BON Johan,1246,2020,https://www.strava.com/athletes/15869751
90,MOTTIER Justin,1247,2020,https://www.strava.com/pros/6731460
92,TURGIS Jimmy,1249,2020,https://www.strava.com/athletes/10414359
93,VICHOT Arthur,1250,2020,https://www.strava.com/pros/1522671
94,BENFATTO Marco,1251,2020,https://www.strava.com/athletes/4876079
95,FILOSI Iuri,1252,2020,https://www.strava.com/athletes/2656389
96,ORSINI Umberto,1253,2020,https://www.strava.com/pros/4951011
97,PESSOT Alessandro,1254,2020,https://www.strava.com/athletes/5921881
98,ROMANO Francesco,1255,2020,https://www.strava.com/athletes/12033921
99,SENNI Manuel,1256,2020,https://www.strava.com/pros/26595296
100,ISTA Kevyn,1257,2020,https://www.strava.com/athletes/2463553
102,NÕMMELA Aksel,1259,2020,https://www.strava.com/athletes/7957544
105,GIBSON Matthew,1262,2020,https://www.strava.com/athletes/2117152
106,GUERRERO Pablo,1263,2020,https://www.strava.com/athletes/1876677
107,NEVES FERNANDES José Carlos Prates,1264,2020,https://www.strava.com/pros/2644906
108,SESSLER Nícolas,1265,2020,https://www.strava.com/pros/644524
109,VILELA Ricardo,1266,2020,https://www.strava.com/pros/4753119
110,BALLESTEROS Miguel Ángel,1267,2020,https://www.strava.com/athletes/7422725
111,CAÑELLAS Xavier,1268,2020,https://www.strava.com/pros/1709071
112,DE DECKER Alfdan,1269,2020,https://www.strava.com/athletes/2956675
113,DEGAND Thomas,1270,2020,https://www.strava.com/pros/4587013
114,OFFREDO Yoann,1271,2020,https://www.strava.com/pros/11394929
116,KULIKOV Vladislav,1273,2020,https://www.strava.com/athletes/32608936
117,KULIKOVSKIY Alexandr,1274,2020,https://www.strava.com/athletes/37046240
118,KURIANOV Stepan,1275,2020,https://www.strava.com/athletes/32752305
119,RYBALKIN Aleksey,1276,2020,https://www.strava.com/athletes/36543340
120,NAVARDAUSKAS Ramūnas,1277,2020,https://www.strava.com/pros/28185965
121,ANDERSON Ryan,1278,2020,https://www.strava.com/pros/13008634
122,ELLSAY Nigel,1279,2020,https://www.strava.com/athletes/3530526
123,GUÉGAN Maël,1280,2020,https://www.strava.com/athletes/22243648
