full_name,url,cyclist_id,team_pcs_id
ABERASTURI Jon,https://www.strava.com/pros/16275051,1,"4831,1176,2736,4044,1111,1773"
ABRAHAMSEN Jonas,https://www.strava.com/athletes/3249116,2,"1420,1363,1573"
ACKERMANN Pascal,https://www.strava.com/pros/12274527,3,"2171,1411"
ADRIÀ Roger,https://www.strava.com/athletes/6390713,4,7807
AFFINI Edoardo,https://www.strava.com/pros/37167909,5,"1207,1330,2702"
AGIRRE Jon,,6,7807
ALAPHILIPPE Julian,,7,"1805,1328"
ALBA Juan Diego,https://www.strava.com/athletes/38162237,8,"2040,1617"
ALBANESE Vincenzo,https://www.strava.com/pros/3488983,9,"4723,3345"
ALEOTTI Giovanni,https://www.strava.com/athletes/21536765,10,"6076,1411"
ALLEGAERT Piet,https://www.strava.com/pros/4111169,11,"1136,1453"
ALMEIDA João,,12,"1458,2355,1328"
ALONSO Mikel,,13,4831
AMADOR Andrey,https://www.strava.com/athletes/1593769,14,"1423,1109,2040"
AMEZQUETA Julen,https://www.strava.com/pros/1790897,15,"1181,1111"
ANACONA Winner,https://www.strava.com/pros/12542977,16,"1253,1107,2040"
ANDERSEN Idar,https://www.strava.com/athletes/10443289,17,1420
ANDERSON Edward,https://www.strava.com/athletes/2346552,18,"1100,1458"
ANGULO Antonio,,19,"1089,2738,4831,1250"
ANIOLKOWSKI Stanislaw,https://www.strava.com/athletes/27483509,20,"1482,1120,3934,2368"
APARICIO Mario,https://www.strava.com/athletes/7985316,21,1109
APERS Ruben,,22,"1453,1944"
ARAIZ Sergio,,23,7807
ARANBURU Alex,https://www.strava.com/athletes/7094043,24,"1375,1111,2736"
ARANBURU Jokin,https://www.strava.com/athletes/26726869,25,4831
ARASHIRO Yukiya,https://www.strava.com/athletes/12337203,26,"2691,3814,1175,4012,1253,4024"
ARCAS Jorge,https://www.strava.com/pros/2276607,27,2040
ARCHBOLD Shane,,28,"1411,1328,1069,5643,1459,3866"
ARCHIBALD John,,29,"5609,4723"
ARDILA Andrés Camilo,,30,1253
ARENSMAN Thymen,https://www.strava.com/athletes/1936233,31,"1360,2702"
ARISTI Mikel,,32,"4831,4044,2736,4014"
ARMÉE Sander,,33,"1453,2088,1324,1293"
