,full_name,cyclist_id,url,team_pcs_id
6,ALAPHILIPPE Julian,7,https://www.strava.com/athletes/45926891,"1805,1328"
11,ALMEIDA João,12,https://www.strava.com/athletes/30236489,"1458,2355,1328"
28,ARCHIBALD John,29,https://www.strava.com/pros/1058766,"5609,4723"
62,BARTHE Cyril,63,https://www.strava.com/pros/12856902,"2736,4627"
64,BAŠKA Erik,65,https://www.strava.com/athletes/12028347,"2884,1805,1165,1411"
66,BASSO Leonardo,67,https://www.strava.com/athletes/2959374,1423
90,BERTAZZO Liam,91,https://www.strava.com/athletes/26759333,"2355,1181"
95,BEVILACQUA Mattia,96,https://www.strava.com/athletes/17891679,1181
96,BEVILACQUA Simone,97,https://www.strava.com/athletes/40535852,1181
98,BEWLEY Sam,99,https://www.strava.com/athletes/1435325,"1335,1458,1207"
102,BISOLTI Alessandro,103,https://www.strava.com/athletes/25605566,"3345,1181,1511,2925,1233,1122"
105,BJERG Mikkel,106,https://www.strava.com/pros/9640608,"1253,1458,3007"
112,BOILEAU Alan,113,https://www.strava.com/athletes/17558246,4627
136,BRUSSENSKIY Gleb,137,https://www.strava.com/athletes/28473885,"2422,1375"
138,BUITRAGO Santiago,139,https://www.strava.com/athletes/7310716,3814
144,CABOT Jérémy,145,https://www.strava.com/pros/1796710,"1346,1175"
162,CARRETERO Héctor,163,https://www.strava.com/athletes/5667997,2040
177,CHAMPION Thomas,178,https://www.strava.com/athletes/12607976,1136
184,CHEVALIER Maxime,185,https://www.strava.com/pros/31391746,4627
201,CONTI Valerio,202,https://www.strava.com/athletes/87168114,1253
202,CONTRERAS Rodrigo,203,https://www.strava.com/athletes/50371768,"2260,1617,1328,1463,1375"
233,DE KLEIJN Arvid,234,https://www.strava.com/pros/45180733,"1382,1153,1268,1235,1945"
269,DOCKER Mitchell,270,https://www.strava.com/pros/33496976,"1360,4000,1207,1164"
278,DUNBAR Eddie,279,https://www.strava.com/athletes/45057245,"3866,1423,2348,1458"
307,FERASSE Thibault,308,https://www.strava.com/athletes/4120892,"1969,1346,4627"
310,FERRON Valentin,311,https://www.strava.com/athletes/549277,1175
313,FINETTO Mauro,314,https://www.strava.com/athletes/19549406,"4014,2355,3345,1181,2325"
318,FOSS Tobias,319,https://www.strava.com/pros/2885876,"1398,1330,1420"
329,GAILLARD Marlon,330,https://www.strava.com/athletes/8630477,1175
333,GAMPER Patrick,334,https://www.strava.com/athletes/31011940,"1411,4723,1461"
343,GAUDIN Damien,344,https://www.strava.com/athletes/24953823,"1060,1175,1969"
347,GAVIRIA Fernando,348,https://www.strava.com/pros/24644516,"1253,1328,2260"
368,GONZÁLEZ Abner,369,https://www.strava.com/athletes/37701893,"2040,2728"
374,GRÁVALOS Arturo,375,https://www.strava.com/athletes/20560432,4723
377,GRELLIER Fabien,378,https://www.strava.com/athletes/7307546,1175
380,GROENEWEGEN Dylan,381,https://www.strava.com/pros/4352993,"1473,1330,2690"
382,GROßSCHARTNER Felix,383,https://www.strava.com/pros/10573633,"1411,1337,1120"
396,HALVORSEN Kristoffer,397,https://www.strava.com/athletes/2689594,"4000,1398,1420,1423"
398,HAMILTON Lucas,399,https://www.strava.com/athletes/10190628,"1207,3927"
403,HAUSSLER Heinrich,404,https://www.strava.com/athletes/6323010,"4000,1126,1570,3814,1216,1199"
415,HIGUITA Sergio,416,https://www.strava.com/athletes/35804776,"2998,4000,4831"
433,HOWSON Damien,434,https://www.strava.com/athletes/5943160,"1397,1207"
456,JERMAN Žiga,457,https://www.strava.com/athletes/3393516,"5638,1333,2925"
457,JOHANSEN Julius,458,https://www.strava.com/athletes/6410711,"1420,1383"
469,KANGERT Tanel,470,https://www.strava.com/athletes/51228779,"1060,4000,1375,1207"
495,KULSET Sindre,496,https://www.strava.com/athletes/13690807,1420
501,KWIATKOWSKI Michal,502,https://www.strava.com/pros/1905161,"1328,1111,1423,1335"
508,LANDA Mikel,509,https://www.strava.com/athletes/17967199,"3814,4044,1176,2040,1423,1375"
511,LARSEN Niklas,512,https://www.strava.com/athletes/11006058,"1420,1383,1607"
518,LECROQ Jérémy,519,https://www.strava.com/athletes/1711984,"1346,4627"
520,LEEMREIZE Gijs,521,https://www.strava.com/pros/7968141,"1330,6016"
541,MADAN Ahmed,542,https://www.strava.com/athletes/22710584,"3814,6017"
